node,median,q1,q3,min,max,mean
ai_node_0,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_1,0.00032595311104135984,0.0002454708614015179,0.0003943630232352255,0.00010865103701378661,0.0007404366966865458,0.0003227668187781185
ai_node_2,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_3,0.00020120562409960482,0.00016498861176167596,0.00024949497388351,0.0001166992619777708,0.0007806778215064667,0.00023331079830343415
ai_node_4,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_5,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_6,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_7,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_8,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_9,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_10,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_11,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_12,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_13,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_14,0.000583496309888854,0.0005110622852129963,0.0006559303345647118,0.0003661942358612808,0.0013641741313953207,0.0005958294098236635
ai_node_15,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_16,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_17,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_18,0.0010181004579440005,0.0008853047460382613,0.0011750408447416922,0.000543255185068933,0.001915477541428238,0.0010403336794070068
ai_node_19,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_20,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_21,0.000458748822947099,0.0003299772235233519,0.0005955686473348303,0.000124747486941755,0.0008289671712903719,0.000466275522933417
ai_node_22,0.00037826657330725707,0.00031388077359538355,0.0004507005979831148,0.000124747486941755,0.000623737434708775,0.00037686698698602026
ai_node_23,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_24,0.0003621701233792887,0.00032595311104135984,0.00041448358564518593,0.00024949497388351,0.0007967742714344351,0.00037828266975718506
ai_node_25,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_26,0.0026076248883308787,0.002338009352037408,0.0028852886495883334,0.0014848975058550837,0.004237390443537678,0.002623318927010648
ai_node_27,0.001046269245317945,0.0008933529710022454,0.0012595472068635263,0.0007364125842045536,0.002414467489195258,0.0011078751881272585
ai_node_28,0.002748468825200602,0.00241849160167725,0.003150880073399812,0.0015130662932290283,0.005496937650401204,0.0028135274565194647
ai_node_29,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_30,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_31,0.000539231072586941,0.0004909417228030358,0.0006036168722988145,0.00039033891075323336,0.0011347997199217712,0.0005540615367280746
ai_node_32,0.0008007983839164272,0.0006881232344206485,0.0009456664332681427,0.0005875204223708461,0.0012716195443095025,0.000824889135701121
ai_node_33,0.001376246468841297,0.0012233301945255974,0.0015452591930849651,0.0008289671712903719,0.002450684501533187,0.0013901715076739824
ai_node_34,0.0,0.0,0.0,0.0,0.0,0.0
ai_node_35,0.00018913328665362853,0.00015694038679769177,0.00021730207402757322,0.00010060281204980241,0.0003702183483432729,0.00018917755189093045
ai_node_36,0.0006519062220827197,0.0005915445348528382,0.0007203161342765853,0.00040241124819920965,0.0011790649572236843,0.0006606087677362757
ai_node_37,0.00014084393686972338,0.0001207233744597629,0.00017303683672566017,7.645813715784983e-05,0.0006317856596727592,0.0001564582981223491
ai_node_38,0.001537210968120981,0.001331981231539384,0.001750488929666562,0.0008410395087363482,0.0027967581749845072,0.0015535488647978688
