node,Betweenness
ai_node_415,0.007080435903773375
ai_node_426,0.006774837486100765
ai_node_278,0.006592829922320229
ai_node_286,0.006104953474639693
ai_node_443,0.005733759417691426
ai_node_412,0.0049937089370665644
ai_node_434,0.00484709498054907
ai_node_463,0.004805554726573088
ai_node_334,0.004675050086461146
ai_node_154,0.004664284021655155
ai_node_327,0.004632189318364919
ai_node_76,0.004623234506782918
ai_node_349,0.00444509537430047
ai_node_361,0.004412528617632662
ai_node_279,0.0043857218310825565
ai_node_261,0.004274022113494467
ai_node_203,0.004216334273181342
ai_node_313,0.004168933160309723
ai_node_263,0.004108188675507224
ai_node_379,0.004041356442585504
