node,Betweenness
ai_node_74,0.006072934332767251
ai_node_97,0.003935390382984366
ai_node_88,0.0035535246097937742
ai_node_441,0.0033229480455257304
ai_node_363,0.002704438327793472
ai_node_484,0.0025895822893432572
ai_node_26,0.0025654260008510675
ai_node_28,0.0025231456729995975
ai_node_270,0.002268219744135431
ai_node_310,0.0021674540513423094
ai_node_423,0.002159278221945726
ai_node_85,0.002095949405025388
ai_node_308,0.0020815392498517785
ai_node_267,0.002045992922927515
ai_node_189,0.0017030427272598362
ai_node_305,0.0016932794638809079
ai_node_200,0.001601261425126022
ai_node_126,0.001595560599109866
ai_node_133,0.0015166879944628212
ai_node_382,0.0014848975058550837
